country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,2.99,2.99,2.99,2.99,2.99,2.98,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.98,4.33,5.57,6.57,7.27,7.62,7.6,7.24,6.58,5.71,4.77,3.91,3.31,3.05,3.04,3.08,3.05,3.04,3.04,3.05,8.82,8.89,8.89,8.78,8.6,8.39,8.22,8.14,8.18,8.35,8.54,8.69,8.84,8.94,9.01,9.09,16.2,18.8,12.1,3.85,7.65,5.44,6.94,8.09,2.73,1.81,8.75,7.65,1.86,4.8,âˆ?0.628,âˆ?2.79,âˆ?0.242,6.96,1.18,0.38,2.35,âˆ?3.65,âˆ?6.88,âˆ?5.65,8.85,,
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,2.8,3.26,5.97,1.97,1.83,4.32,âˆ?0.182,5.42,2.65,3.37,0.645,1.49,1.6,1.7,2,0.745,2.48,3.3,1.43,1.94,âˆ?4.76,âˆ?1.86,11.4,5.2,4.71,4.31,âˆ?7.68,6.54,âˆ?1.7,âˆ?0.28,9.09,6.62,0.766,âˆ?4.55,âˆ?5.58,5.02,âˆ?18.6,âˆ?9.86,âˆ?0.341,âˆ?0.885,7.34,1.22,âˆ?5.14,âˆ?2.57,28.3,7.31,5.88,5.01,4.95,1.74,âˆ?7.15,27.1,12.6,6.55,12.4,4.56,13.6,2.5,20.2,8.04,6.98,14.8,4.47
Angola,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.09,4.19,4.13,âˆ?2.31,8.38,âˆ?1.59,9.79,5.46,0.528,4.09,13.5,âˆ?2.59,5.29,11.3,7.58,5.82,5.8,âˆ?1.54,2.96,6.5,6.01,0.169,8.11,3.15,âˆ?5.04,âˆ?5.25,0.738,âˆ?5.3,0.317,2.73,âˆ?4.4,0,4.2,6,3.5,3.18,7,5.57,0.388,âˆ?0.445,0.991,âˆ?5.84,âˆ?24,1.34,15,20,5.5,0,3.24,3.01,3.14,14.5,3.3,11.2,20.5,18.6,23.2,13.8,2.39,3.45,3.87,4.96,3.79
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,1.35,1.4,1.39,1.39,1.38,1.38,1.37,1.36,1.41,1.35,1.4,1.39,1.39,1.38,1.38,1.37,1.41,1.36,1.4,1.35,1.39,1.38,1.38,1.42,1.37,1.36,1.4,1.39,1.35,1.38,1.42,1.37,1.37,1.4,1.36,1.39,1.39,1.38,1.38,1.37,1.4,1.36,1.39,1.39,1.38,1.38,1.37,1.4,1.36,1.39,1.39,1.38,1.38,1.37,1.4,1.39,1.36,1.38,1.38,1.41,1.37,1.4,1.36,1.39,1.38,1.41,1.37,1.4,1.36,1.39,1.38,1.37,1.4,1.36,1.39,1.38,1.38,1.4,1.37,1.39,1.39,1.38,1.38,1.37,1.39,1.39,1.38,1.38,1.37,1.39,1.39,1.38,3.18,3.17,3.2,3.17,3.19,3.21,3.17,3.19,3.16,3.18,3.2,3.17,3.19,3.19,3.18,3.18,3.19,3.19,3.18,3.18,3.17,3.19,3.19,3.18,3.2,3.17,3.19,3.18,3.2,3.17,3.19,3.18,3.2,3.19,3.17,3.2,3.18,5.97,5.18,4.54,4.04,3.58,3.28,3.06,2.95,2.91,3.01,3.12,3.27,3.36,3.41,3.42,3.41,3.4,3.42,3.38,3.35,âˆ?2.95,11.1,3.79,âˆ?0.42,3.29,1.68,0.4,7.66,9.51,4.51,2.9,âˆ?2.21,âˆ?1.18,3.33,10.4,14.1,11.9,15.2,10.7,5.6,âˆ?1.23,7.97,8.1,8.63,âˆ?1.81,2.91,11,10.8,4.64,2.78,4.73,1.07,5.37,24.6,10.6,20.4,13.3,âˆ?1.26,âˆ?18.3,âˆ?3.74,3.99,,
Albania,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.664,0.664,0.664,0.664,0.664,0.664,0.663,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.663,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,0.664,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.2,2.2,2.2,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.38,1.38,1.37,1.37,1.26,1.47,1.36,1.36,1.35,0.885,0.985,0.879,0.877,0.875,0.972,0.869,1.96,1.35,3.27,2.06,1.48,1.92,0.551,0.641,1.8,1.78,2.2,1.82,1.8,0.87,6.46,2.53,6.77,5.84,8.52,4.11,9.76,7.83,7.44,8.4,4,6.51,6.55,6.5,6.66,6.69,6.63,6.4,6.11,6.33,6.58,6.43,7.46,2.69,2.62,2.64,2.64,2.63,2.62,2.81,2.56,2.49,2.54,2.68,2.83,3.22,3.37,3.18,2.68,1.94,âˆ?28.9,âˆ?8.79,7.38,5.93,11.2,7.66,âˆ?11.1,11.8,9.36,6.76,6.89,3.28,6.03,5.97,5.53,5.77,5.85,7.24,3.28,3.36,2.86,2.64,2.06
Andorra,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,1.82,1.86,1.81,1.85,1.84,1.84,1.83,1.83,1.82,1.86,1.82,1.85,1.84,1.84,1.83,1.83,1.83,1.86,1.82,1.85,1.84,1.84,1.83,1.83,1.83,1.85,1.82,1.84,1.84,1.84,1.83,1.83,1.82,1.85,1.85,1.81,1.84,1.86,1.83,1.82,1.85,1.82,1.84,1.84,1.83,1.86,1.82,1.85,1.84,1.81,1.86,1.83,1.83,1.85,1.82,1.84,1.83,1.83,1.85,1.82,1.84,1.84,1.83,1.83,1.83,1.85,1.84,1.84,1.83,1.83,1.83,1.85,1.84,1.84,1.83,1.83,1.85,1.82,1.84,1.83,1.85,1.83,1.84,1.84,1.83,1.83,1.83,1.84,1.84,1.83,1.83,1.83,1.84,4.49,4.48,4.48,4.49,4.49,4.46,4.5,4.48,4.47,4.49,4.48,4.5,4.47,4.49,4.49,4.48,4.48,4.49,4.47,4.5,4.48,4.47,4.49,4.48,4.48,4.49,4.49,4.48,4.48,4.47,4.49,4.48,4.48,4.49,4.49,4.48,4.48,12.1,12.4,12.5,12.5,12.4,12.2,12,11.8,11.6,11.4,11.3,11,10.8,10.6,10.3,10,9.79,9.6,9.46,9.36,4.67,8.13,7.81,5.6,0.559,3.29,2.84,1.48,0.0309,2.21,âˆ?0.135,1.25,1.77,1.79,2.32,3.24,5.54,5.08,4.83,3.83,2.68,1.11,âˆ?0.905,2.3,2.4,3.94,8.05,2.25,3.59,1.42,13,7.72,8.94,8.64,7.8,4.97,0.161,âˆ?4.22,âˆ?5.06,âˆ?3.43,âˆ?2.83,,
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,4.45,4.46,4.46,4.46,4.45,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.45,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.45,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,5.81,5.67,5.61,5.6,5.62,5.65,5.67,5.67,5.63,5.56,5.48,5.41,5.38,5.4,5.46,5.53,5.57,5.52,5.36,5.12,6.44,4.71,4.08,5.46,2.59,6.25,36.4,6.65,4.75,8.62,1.17,âˆ?1.83,âˆ?0.517,âˆ?1.79,âˆ?2.07,âˆ?5.48,1.23,1.51,7.8,1.49,1.77,3.15,4.53,5.39,1.52,1.33,1.24,âˆ?2.94,âˆ?1.84,âˆ?2.72,1.3,0.325,1.45,1.19,1.02,2.1,3.2,2.4,âˆ?0.5,0,âˆ?0.0191,,
United Arab Emirates,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.15,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,0.202,5.38,7.55,7.5,6.33,4.96,4.1,4.31,11.9,14.9,18.3,20.8,21.3,20,18.2,16.4,15.8,17.3,20.8,25,13.8,13.7,81.7,190,32.3,15.1,17.6,âˆ?2.3,24.6,25.7,1.89,âˆ?9.3,âˆ?6.11,3.41,âˆ?2.82,âˆ?19,6.53,âˆ?2.02,14,18.1,0.389,2.9,âˆ?0.853,7.82,6.39,5.14,8.1,0.889,3.58,11.2,1.86,0.825,11.5,12.9,15.8,21.1,16.4,13.9,0.107,6.47,7.28,4.08,2.99
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,4.66,4.66,4.66,4.66,4.66,2.22,10.6,âˆ?5.17,4.52,âˆ?1.97,1.66,26.8,12.5,7.31,17.8,0.418,7.02,16.6,10,âˆ?8.51,âˆ?5.4,20.2,6.28,15.9,11.4,11.1,âˆ?19.3,8.99,18.5,âˆ?11.9,9.67,âˆ?1.2,15.8,12,14.7,4.24,1.21,9.18,4.14,6.57,1.55,8.16,0.77,âˆ?11.8,âˆ?1.18,âˆ?2.79,âˆ?8.21,18.6,3.79,7.85,2.11,8.13,11.9,8.5,âˆ?0.546,4.98,7.41,6.44,4.66,âˆ?4.44,âˆ?6.73,âˆ?3.35,4.67,7.8,4.16,0.907,7.51,0.45,4.2,1.38,5.37,1.18,âˆ?0.643,11.6,âˆ?3.13,8.44,10.8,5.52,âˆ?1.08,1.33,3.86,âˆ?5.18,5.39,4.21,7.18,2.81,5.25,6.18,âˆ?6.59,7.98,7.19,âˆ?1.62,âˆ?2.42,10.4,9.26,0.619,2.66,4.34,8.66,5.46,3.8,2.08,3.79,5.47,âˆ?0.619,âˆ?0.0192,6.47,âˆ?3.29,7.02,1.53,âˆ?5.53,âˆ?3.03,4.26,2.23,âˆ?6.95,7.47,2.76,âˆ?1.8,âˆ?7.02,âˆ?1.85,10.8,10,6.04,6.12,âˆ?2.7,5.76,8.34,3.99,âˆ?3.38,âˆ?0.807,âˆ?4.52,âˆ?11.1,8.76,8.88,9.08,8.21,8.39,6.5,0.598,8.88,8.59,1.64,3.98
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,âˆ?3.2,17.7,âˆ?3.14,âˆ?6.37,0.276,âˆ?7.77,10.2,14.1,14.5,âˆ?6.82,10.9,âˆ?0.995,3.37,6.85,âˆ?1.47,3.2,9.42,âˆ?6.26,11.3,âˆ?10.9,âˆ?3.77,âˆ?3.25,9.96,4.54,7.44,âˆ?6.97,8.79,5.78,âˆ?3.85,3.63,âˆ?2.27,âˆ?15.9,âˆ?15.9,âˆ?15.9,âˆ?4.2,âˆ?4.2,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,5.24,1.6,âˆ?0.863,4.48,9.93,15.1,7.54,9.04,0.407,4.77,âˆ?3.5,âˆ?1.2,âˆ?1.2,âˆ?1.2,âˆ?1.2,âˆ?1.2,âˆ?1.2,11.9,13.8,9.97,9.06,0.671,7.21,5.46,6.26,10.1,11.2,3.66,9.23,0.449,11.2,7.58,4.58,âˆ?0.463,15,7.63,6.72,6.19,7.6,3.04,9.39,4.18,1.98,9.9,3.34,0.608,4.93,2.52,2.6,âˆ?0.421,0.143,0.834,2.26,2.93,0.97,0.708,4.08,1.36,2,1.06,âˆ?3.82,âˆ?14.1,âˆ?41.8,âˆ?6.86,6.38,6.67,4.41,2.23,6.76,2.74,5.58,9.77,15.4,14.3,11,14.4,13.2,13.7,6.86,âˆ?14.8,1.42,3.94,7.22,3.27
